Field,Phase,SI,log_IAP,"log K(300 K, 1 atm)",Form
ANTELOPE HILLS,Alstonite,1.72,4.3,2.58,BaCa(CO3)2
ANTELOPE HILLS,Anhydrite,-3.67,-8.04,-4.37,CaSO4
ANTELOPE HILLS,Antarcticite,-10.4,-6.31,4.09,CaCl2:6H2O
ANTELOPE HILLS,Aphthitalite,-14.8,-18.69,-3.89,NaK3(SO4)2
ANTELOPE HILLS,Aragonite,0.98,2.92,1.94,CaCO3
ANTELOPE HILLS,Arcanite,-8.66,-10.48,-1.82,K2SO4
ANTELOPE HILLS,Arsenolite,-40.8,-60.54,-19.74,As2O3
ANTELOPE HILLS,Artinite,-3.1,16.38,19.47,Mg2CO3(OH)2:3H2O
ANTELOPE HILLS,As,-46.18,-3.83,42.36,As
ANTELOPE HILLS,As2O5,-37.27,-35.17,2.09,As2O5
ANTELOPE HILLS,As4O6(cubi),-81.45,-121.08,-39.63,As4O6
ANTELOPE HILLS,As4O6(mono),-81.22,-121.08,-39.86,As4O6
ANTELOPE HILLS,B,-85.26,23.56,108.81,B
ANTELOPE HILLS,B(g),-175.88,23.56,199.44,B
ANTELOPE HILLS,B2O3,-11.3,-5.77,5.53,B2O3
ANTELOPE HILLS,Ba,-111.17,29.11,140.28,Ba
ANTELOPE HILLS,Ba(OH)2:8H2O,-12.96,11.46,24.43,Ba(OH)2:8H2O
ANTELOPE HILLS,BaCl2,-10.06,-7.84,2.21,BaCl2
ANTELOPE HILLS,BaCl2:2H2O,-8.07,-7.85,0.23,BaCl2:2H2O
ANTELOPE HILLS,BaCl2:H2O,-8.67,-7.85,0.83,BaCl2:H2O
ANTELOPE HILLS,BaMnO4,-36.73,-46.82,-10.09,BaMnO4
ANTELOPE HILLS,BaO,-36,11.48,47.48,BaO
ANTELOPE HILLS,Barite,0.39,-9.59,-9.98,BaSO4
ANTELOPE HILLS,Barytocalcite,1.56,4.3,2.74,BaCa(CO3)2
ANTELOPE HILLS,BaSeO3,-5.83,-12.41,-6.58,BaSeO3
ANTELOPE HILLS,BaSeO4,-8.71,-16.15,-7.45,BaSeO4
ANTELOPE HILLS,Bassanite,-4.32,-8.05,-3.73,CaSO4:0.5H2O
ANTELOPE HILLS,Birnessite,-43.16,-128.71,-85.55,Mn8O14:5H2O
ANTELOPE HILLS,Bischofite,-10.49,-6.09,4.39,MgCl2:6H2O
ANTELOPE HILLS,Bixbyite,-6.27,-7.45,-1.19,Mn2O3
ANTELOPE HILLS,Bloedite,-11.29,-13.77,-2.48,Na2Mg(SO4)2:4H2O
ANTELOPE HILLS,Borax,-8.56,3.57,12.14,Na2(B4O5(OH)4):8H2O
ANTELOPE HILLS,Boric_acid,-2.76,-2.89,-0.13,B(OH)3
ANTELOPE HILLS,Brucite,-2.91,13.24,16.15,Mg(OH)2
ANTELOPE HILLS,Burkeite,-16.32,-6.83,9.49,Na6CO3(SO4)2
ANTELOPE HILLS,C,-38.54,25.15,63.69,C
ANTELOPE HILLS,C(g),-155.32,25.15,180.47,C
ANTELOPE HILLS,Ca,-108.21,30.66,138.87,Ca
ANTELOPE HILLS,Ca(g),-133.25,30.66,163.9,Ca
ANTELOPE HILLS,Ca2Cl2(OH)2:H2O,-19.56,6.73,26.29,Ca2Cl2(OH)2:H2O
ANTELOPE HILLS,Ca3(AsO4)2,-13.72,3.91,17.63,Ca3(AsO4)2
ANTELOPE HILLS,Ca4Cl2(OH)6:13H2O,-35.57,32.75,68.33,Ca4Cl2(OH)6:13H2O
ANTELOPE HILLS,Calcite,1.13,2.92,1.79,CaCO3
ANTELOPE HILLS,Carnallite,-14.73,-10.46,4.27,KMgCl3:6H2O
ANTELOPE HILLS,CaSeO3:2H2O,-6.22,-10.87,-4.65,CaSeO3:2H2O
ANTELOPE HILLS,CaSeO4,-11.52,-14.61,-3.09,CaSeO4
ANTELOPE HILLS,CaSO4:0.5H2O(beta),-4.48,-8.05,-3.56,CaSO4:0.5H2O
ANTELOPE HILLS,Celestite,-3.22,-8.96,-5.73,SrSO4
ANTELOPE HILLS,Chloromagnesite,-27.71,-6.08,21.63,MgCl2
ANTELOPE HILLS,Cl2(g),-39.89,-36.95,2.93,Cl2
ANTELOPE HILLS,Claudetite,-40.84,-60.54,-19.7,As2O3
ANTELOPE HILLS,CO2(g),-2.26,-10.11,-7.84,CO2
ANTELOPE HILLS,Colemanite,-12.79,8.73,21.51,Ca2B6O11:5H2O
ANTELOPE HILLS,Dolomite,3.66,6.06,2.4,CaMg(CO3)2
ANTELOPE HILLS,Dolomite-dis,2.14,6.06,3.93,CaMg(CO3)2
ANTELOPE HILLS,Dolomite-ord,3.67,6.06,2.39,CaMg(CO3)2
ANTELOPE HILLS,Downeyite,-17.1,-23.89,-6.79,SeO2
ANTELOPE HILLS,Epsomite,-5.88,-7.84,-1.96,MgSO4:7H2O
ANTELOPE HILLS,Fe,-34.04,24.54,58.58,Fe
ANTELOPE HILLS,Fe(OH)2,-6.87,6.91,13.78,Fe(OH)2
ANTELOPE HILLS,Fe(OH)3,0.92,6.46,5.54,Fe(OH)3
ANTELOPE HILLS,Fe2(SO4)3,-53.04,-50.29,2.75,Fe2(SO4)3
ANTELOPE HILLS,FeO,-6.49,6.91,13.4,FeO
ANTELOPE HILLS,Ferrite-Ca,4.77,25.96,21.19,CaFe2O4
ANTELOPE HILLS,Ferrite-Dicalcium,-17.26,38.99,56.24,Ca2Fe2O5
ANTELOPE HILLS,Ferrite-Mg,5.48,26.18,20.69,MgFe2O4
ANTELOPE HILLS,Ferroselite,-46.12,-126.57,-80.45,FeSe2
ANTELOPE HILLS,FeSO4,-16.68,-14.16,2.52,FeSO4
ANTELOPE HILLS,Gaylussite,-3.22,7.95,11.16,CaNa2(CO3)2:5H2O
ANTELOPE HILLS,Glauberite,-8.51,-13.98,-5.47,Na2Ca(SO4)2
ANTELOPE HILLS,Goethite,6.01,6.46,0.46,FeOOH
ANTELOPE HILLS,Gypsum,-3.51,-8.05,-4.53,CaSO4:2H2O
ANTELOPE HILLS,H2(g),-25.04,-28.15,-3.11,H2
ANTELOPE HILLS,H2O(g),-1.54,0,1.53,H2O
ANTELOPE HILLS,Halite,-3.66,-2.09,1.57,NaCl
ANTELOPE HILLS,Hausmannite,-8.05,1.78,9.83,Mn3O4
ANTELOPE HILLS,HCl(g),-15.88,-9.66,6.21,HCl
ANTELOPE HILLS,Hematite,13.01,12.93,-0.08,Fe2O3
ANTELOPE HILLS,Hexahydrite,-6.11,-7.84,-1.73,MgSO4:6H2O
ANTELOPE HILLS,Huntite,2.33,12.34,10.02,CaMg3(CO3)4
ANTELOPE HILLS,Hydroboracite,-11.42,8.94,20.36,MgCaB6O11:6H2O
ANTELOPE HILLS,Hydromagnesite,-4.59,25.79,30.39,Mg5(CO3)4(OH)2:4H2O
ANTELOPE HILLS,Hydrophilite,-17.95,-6.3,11.65,CaCl2
ANTELOPE HILLS,Ice,-0.15,0,0.15,H2O
ANTELOPE HILLS,Jarosite,-7.83,-17.46,-9.63,KFe3(SO4)2(OH)6
ANTELOPE HILLS,Jarosite-Na,-9.74,-15.19,-5.45,NaFe3(SO4)2(OH)6
ANTELOPE HILLS,K,-56.41,14.11,70.52,K
ANTELOPE HILLS,K(g),-66.91,14.11,81.02,K
ANTELOPE HILLS,K2CO3:1.5H2O,-12.9,0.48,13.38,K2CO3:1.5H2O
ANTELOPE HILLS,K2O,-72.95,10.59,83.54,K2O
ANTELOPE HILLS,K2Se,-62.74,-51.52,11.22,K2Se
ANTELOPE HILLS,K3H(SO4)2,-22.64,-26.26,-3.62,K3H(SO4)2
ANTELOPE HILLS,K8H4(CO3)6:3H2O,-45.99,-18.28,27.71,K8H4(CO3)6:3H2O
ANTELOPE HILLS,Kainite,-11.89,-12.2,-0.31,KMgClSO4:3H2O
ANTELOPE HILLS,Kalicinite,-5.09,-4.81,0.28,KHCO3
ANTELOPE HILLS,Kieserite,-7.56,-7.83,-0.27,MgSO4:H2O
ANTELOPE HILLS,KMgCl3,-31.54,-10.45,21.09,KMgCl3
ANTELOPE HILLS,KMgCl3:2H2O,-24.32,-10.45,13.87,KMgCl3:2H2O
ANTELOPE HILLS,KNaCO3:6H2O,-7.51,2.75,10.26,KNaCO3:6H2O
ANTELOPE HILLS,Lansfordite,-1.71,3.13,4.84,MgCO3:5H2O
ANTELOPE HILLS,Lawrencite,-21.37,-12.41,8.95,FeCl2
ANTELOPE HILLS,Leonite,-14.21,-18.32,-4.11,K2Mg(SO4)2:4H2O
ANTELOPE HILLS,Li,-59.14,13.13,72.27,Li
ANTELOPE HILLS,Li(g),-81.14,13.13,94.27,Li
ANTELOPE HILLS,Li2Se,-64.44,37.62,102.06,Li2Se
ANTELOPE HILLS,Lime,-19.31,13.03,32.34,CaO
ANTELOPE HILLS,Magnesite,0.92,3.14,2.22,MgCO3
ANTELOPE HILLS,Magnetite,9.68,19.84,10.16,Fe3O4
ANTELOPE HILLS,Manganite,-3.56,-3.73,-0.16,MnO(OH)
ANTELOPE HILLS,Manganosite,-8.54,9.24,17.77,MnO
ANTELOPE HILLS,Melanterite,-11.79,-14.18,-2.39,FeSO4:7H2O
ANTELOPE HILLS,Mercallite,-14.34,-15.78,-1.44,KHSO4
ANTELOPE HILLS,Mg,-90.78,30.87,121.65,Mg
ANTELOPE HILLS,Mg(g),-110.33,30.87,141.2,Mg
ANTELOPE HILLS,Mg1.25SO4(OH)0.5:0.5H2O,-9.6,-4.52,5.08,Mg1.25SO4(OH)0.5:0.5H2O
ANTELOPE HILLS,Mg1.5SO4(OH),-10.27,-1.21,9.06,Mg1.5SO4(OH)
ANTELOPE HILLS,MgCl2:2H2O,-18.71,-6.08,12.62,MgCl2:2H2O
ANTELOPE HILLS,MgCl2:4H2O,-13.34,-6.09,7.25,MgCl2:4H2O
ANTELOPE HILLS,MgCl2:H2O,-22.01,-6.08,15.93,MgCl2:H2O
ANTELOPE HILLS,MgOHCl,-12.17,3.58,15.75,MgOHCl
ANTELOPE HILLS,MgSeO3,-12.23,-10.65,1.58,MgSeO3
ANTELOPE HILLS,MgSeO3:6H2O,-7.24,-10.66,-3.42,MgSeO3:6H2O
ANTELOPE HILLS,MgSO4,-12.55,-7.83,4.72,MgSO4
ANTELOPE HILLS,Mirabilite,-4.89,-5.95,-1.06,Na2SO4:10H2O
ANTELOPE HILLS,Misenite,-94.08,-105.15,-11.08,K8H6(SO4)7
ANTELOPE HILLS,Mn,-55.48,26.87,82.35,Mn
ANTELOPE HILLS,Mn(OH)2(am),-5.96,9.24,15.19,Mn(OH)2
ANTELOPE HILLS,Mn(OH)3,-10.07,-3.73,6.34,Mn(OH)3
ANTELOPE HILLS,MnCl2:2H2O,-14.05,-10.09,3.96,MnCl2:2H2O
ANTELOPE HILLS,MnCl2:4H2O,-12.84,-10.1,2.74,MnCl2:4H2O
ANTELOPE HILLS,MnCl2:H2O,-15.57,-10.09,5.48,MnCl2:H2O
ANTELOPE HILLS,MnO2(gamma),-8.4,-24.53,-16.13,MnO2
ANTELOPE HILLS,MnSe,-42.17,-52.87,-10.7,MnSe
ANTELOPE HILLS,MnSeO3,-7.38,-14.65,-7.27,MnSeO3
ANTELOPE HILLS,MnSeO3:2H2O,-8.34,-14.66,-6.32,MnSeO3:2H2O
ANTELOPE HILLS,MnSO4,-14.37,-11.83,2.53,MnSO4
ANTELOPE HILLS,Molysite,-35.81,-22.52,13.29,FeCl3
ANTELOPE HILLS,Monohydrocalcite,0.27,2.92,2.65,CaCO3:H2O
ANTELOPE HILLS,Na,-50.54,16.38,66.93,Na
ANTELOPE HILLS,Na(g),-63.91,16.38,80.29,Na
ANTELOPE HILLS,Na2CO3,-6.08,5.04,11.12,Na2CO3
ANTELOPE HILLS,Na2CO3:7H2O,-4.95,5.02,9.97,Na2CO3:7H2O
ANTELOPE HILLS,Na2O,-51.87,15.14,67.01,Na2O
ANTELOPE HILLS,Na2Se,-58.71,-46.97,11.74,Na2Se
ANTELOPE HILLS,Na2Se2,-65.72,-126.71,-60.99,Na2Se2
ANTELOPE HILLS,Na3H(SO4)2,-18.55,-19.44,-0.89,Na3H(SO4)2
ANTELOPE HILLS,Na4Ca(SO4)3:2H2O,-14.02,-19.92,-5.89,Na4Ca(SO4)3:2H2O
ANTELOPE HILLS,NaFeO2,-5.66,14.04,19.69,NaFeO2
ANTELOPE HILLS,Nahcolite,-2.41,-2.54,-0.12,NaHCO3
ANTELOPE HILLS,Natron,-4.63,5.01,9.65,Na2CO3:10H2O
ANTELOPE HILLS,Nesquehonite,-2.1,3.13,5.24,MgCO3:3H2O
ANTELOPE HILLS,Niter,-6.73,-6.91,-0.18,KNO3
ANTELOPE HILLS,Nitrobarite,-10.48,-12.93,-2.45,Ba(NO3)2
ANTELOPE HILLS,NO2(g),-11.63,-3.39,8.24,NO2
ANTELOPE HILLS,O2(g),-32.35,-35.26,-2.91,O2
ANTELOPE HILLS,Oxychloride-Mg,-9.02,16.82,25.83,Mg2Cl(OH)3:4H2O
ANTELOPE HILLS,Pentahydrite,-6.45,-7.84,-1.39,MgSO4:5H2O
ANTELOPE HILLS,Periclase,-7.9,13.25,21.15,MgO
ANTELOPE HILLS,Picromerite,-13.88,-18.32,-4.44,K2Mg(SO4)2:6H2O
ANTELOPE HILLS,Pirssonite,-3.37,7.95,11.32,Na2Ca(CO3)2:2H2O
ANTELOPE HILLS,Polyhalite,-20.09,-34.4,-14.31,K2MgCa2(SO4)4:2H2O
ANTELOPE HILLS,Portlandite,-9.37,13.03,22.4,Ca(OH)2
ANTELOPE HILLS,Pyrolusite,-6.96,-24.53,-17.57,MnO2
ANTELOPE HILLS,Rhodochrosite,-0.62,-0.87,-0.24,MnCO3
ANTELOPE HILLS,Scacchite,-18.74,-10.09,8.65,MnCl2
ANTELOPE HILLS,Se,-14.48,11.37,25.85,Se
ANTELOPE HILLS,Se2O5,-60.87,-51.53,9.35,Se2O5
ANTELOPE HILLS,SeCl4,-76.72,-62.54,14.18,SeCl4
ANTELOPE HILLS,SeO3,-46.63,-27.64,19,SeO3
ANTELOPE HILLS,Siderite,-2.94,-3.19,-0.26,FeCO3
ANTELOPE HILLS,Sr,-111.06,29.75,140.8,Sr
ANTELOPE HILLS,Sr(NO3)2,-13.45,-12.29,1.16,Sr(NO3)2
ANTELOPE HILLS,Sr(NO3)2:4H2O,-13.04,-12.3,0.74,Sr(NO3)2:4H2O
ANTELOPE HILLS,Sr(OH)2,-15.23,12.11,27.34,Sr(OH)2
ANTELOPE HILLS,Sr3(AsO4)2,-19.26,1.18,20.44,Sr3(AsO4)2
ANTELOPE HILLS,SrCl2,-15.04,-7.21,7.84,SrCl2
ANTELOPE HILLS,SrCl2:2H2O,-10.48,-7.21,3.27,SrCl2:2H2O
ANTELOPE HILLS,SrCl2:6H2O,-8.74,-7.22,1.52,SrCl2:6H2O
ANTELOPE HILLS,SrCl2:H2O,-11.91,-7.21,4.69,SrCl2:H2O
ANTELOPE HILLS,SrO,-29.48,12.12,41.6,SrO
ANTELOPE HILLS,SrSeO4,-11.12,-15.52,-4.4,SrSeO4
ANTELOPE HILLS,Starkeyite,-6.84,-7.84,-1,MgSO4:4H2O
ANTELOPE HILLS,Strontianite,2.36,2.01,-0.35,SrCO3
ANTELOPE HILLS,Sylvite,-5.21,-4.37,0.85,KCl
ANTELOPE HILLS,Syngenite,-10.93,-18.53,-7.6,K2Ca(SO4)2:H2O
ANTELOPE HILLS,Tachyhydrite,-35.63,-18.48,17.14,Mg2CaCl6:12H2O
ANTELOPE HILLS,Thenardite,-5.57,-5.93,-0.36,Na2SO4
ANTELOPE HILLS,Thermonatrite,-5.87,5.03,10.9,Na2CO3:H2O
ANTELOPE HILLS,Todorokite,-34.84,-80.67,-45.82,Mn7O12:3H2O
ANTELOPE HILLS,Trona-K,-13.64,-2.05,11.59,K2NaH(CO3)2:2H2O
ANTELOPE HILLS,Witherite,4.37,1.38,-3,BaCO3
ANTELOPE HILLS,Wustite,-5.78,6.5,12.28,Fe.947O
BELGIAN ANTICLINE,Alstonite,0.92,3.5,2.58,BaCa(CO3)2
BELGIAN ANTICLINE,Anhydrite,-2.06,-6.37,-4.3,CaSO4
BELGIAN ANTICLINE,Antarcticite,-8.45,-4.36,4.09,CaCl2:6H2O
BELGIAN ANTICLINE,Aphthitalite,-12.37,-16.25,-3.89,NaK3(SO4)2
BELGIAN ANTICLINE,Aragonite,0.91,2.95,2.03,CaCO3
BELGIAN ANTICLINE,Arcanite,-7.23,-9.13,-1.9,K2SO4
BELGIAN ANTICLINE,Arsenolite,-44.57,-64.61,-20.05,As2O3
BELGIAN ANTICLINE,Artinite,-4.76,15.18,19.94,Mg2CO3(OH)2:3H2O
BELGIAN ANTICLINE,As,-45.35,-2.01,43.34,As
BELGIAN ANTICLINE,As2O5,-33.02,-30.8,2.22,As2O5
BELGIAN ANTICLINE,As4O6(cubi),-89,-129.22,-40.23,As4O6
BELGIAN ANTICLINE,As4O6(mono),-88.78,-129.22,-40.45,As4O6
BELGIAN ANTICLINE,B,-83.02,28.05,111.07,B
BELGIAN ANTICLINE,B(g),-175.65,28.05,203.7,B
BELGIAN ANTICLINE,B2O3,-10.07,-4.49,5.59,B2O3
BELGIAN ANTICLINE,Ba,-112.77,30.41,143.18,Ba
BELGIAN ANTICLINE,Ba(OH)2:8H2O,-14.45,10.18,24.63,Ba(OH)2:8H2O
BELGIAN ANTICLINE,BaBr2,-17.88,-12.24,5.63,BaBr2
BELGIAN ANTICLINE,BaBr2:2H2O,-14.46,-12.25,2.21,BaBr2:2H2O
BELGIAN ANTICLINE,BaCl2,-8.98,-6.72,2.26,BaCl2
BELGIAN ANTICLINE,BaCl2:2H2O,-6.9,-6.73,0.17,BaCl2:2H2O
BELGIAN ANTICLINE,BaCl2:H2O,-7.54,-6.72,0.82,BaCl2:H2O
BELGIAN ANTICLINE,BaMnO4,-43.67,-53.76,-10.09,BaMnO4
BELGIAN ANTICLINE,BaO,-38.22,10.22,48.44,BaO
BELGIAN ANTICLINE,Barite,1.32,-8.75,-10.07,BaSO4
BELGIAN ANTICLINE,Barytocalcite,0.76,3.5,2.74,BaCa(CO3)2
BELGIAN ANTICLINE,BaSeO3,-5.29,-11.85,-6.56,BaSeO3
BELGIAN ANTICLINE,BaSeO4,-4.26,-11.74,-7.48,BaSeO4
BELGIAN ANTICLINE,Bassanite,-2.71,-6.37,-3.66,CaSO4:0.5H2O
BELGIAN ANTICLINE,Birnessite,-60.28,-145.83,-85.55,Mn8O14:5H2O
BELGIAN ANTICLINE,Bischofite,-8.92,-4.53,4.39,MgCl2:6H2O
BELGIAN ANTICLINE,Bixbyite,-9.08,-9.58,-0.51,Mn2O3
BELGIAN ANTICLINE,Bloedite,-9.21,-11.69,-2.48,Na2Mg(SO4)2:4H2O
BELGIAN ANTICLINE,Borax,-7.02,4.83,11.85,Na2(B4O5(OH)4):8H2O
BELGIAN ANTICLINE,Boric_acid,-2.04,-2.25,-0.2,B(OH)3
BELGIAN ANTICLINE,Br2(g),-36.64,-42.66,-6.02,Br2
BELGIAN ANTICLINE,Br2(l),-36,-42.66,-6.66,Br2
BELGIAN ANTICLINE,Brucite,-4.13,12.42,16.55,Mg(OH)2
BELGIAN ANTICLINE,Burkeite,-15.56,-6.08,9.49,Na6CO3(SO4)2
BELGIAN ANTICLINE,C,-34.34,30.74,65.08,C
BELGIAN ANTICLINE,C(g),-153.67,30.74,184.4,C
BELGIAN ANTICLINE,Ca,-108.99,32.8,141.79,Ca
BELGIAN ANTICLINE,Ca(g),-134.65,32.8,167.45,Ca
BELGIAN ANTICLINE,Ca2Cl2(OH)2:H2O,-18.03,8.26,26.29,Ca2Cl2(OH)2:H2O
BELGIAN ANTICLINE,Ca3(AsO4)2,-11.14,7.01,18.16,Ca3(AsO4)2
BELGIAN ANTICLINE,Ca4Cl2(OH)6:13H2O,-34.91,33.42,68.33,Ca4Cl2(OH)6:13H2O
BELGIAN ANTICLINE,Calcite,1.06,2.95,1.89,CaCO3
BELGIAN ANTICLINE,Carnallite,-12.35,-8.08,4.27,KMgCl3:6H2O
BELGIAN ANTICLINE,CaSeO3:2H2O,-4.87,-9.47,-4.6,CaSeO3:2H2O
BELGIAN ANTICLINE,CaSeO4,-6.26,-9.35,-3.09,CaSeO4
BELGIAN ANTICLINE,CaSO4:0.5H2O(beta),-2.88,-6.37,-3.48,CaSO4:0.5H2O
BELGIAN ANTICLINE,Celestite,-2.56,-8.27,-5.71,SrSO4
BELGIAN ANTICLINE,Chloromagnesite,-26.7,-4.51,22.2,MgCl2
BELGIAN ANTICLINE,Cl2(g),-40.26,-37.13,3.12,Cl2
BELGIAN ANTICLINE,Claudetite,-44.62,-64.61,-19.99,As2O3
BELGIAN ANTICLINE,CO2(g),-1.86,-9.66,-7.8,CO2
BELGIAN ANTICLINE,Colemanite,-9.78,11.73,21.51,Ca2B6O11:5H2O
BELGIAN ANTICLINE,Dolomite,3.1,5.72,2.62,CaMg(CO3)2
BELGIAN ANTICLINE,Dolomite-dis,1.53,5.72,4.19,CaMg(CO3)2
BELGIAN ANTICLINE,Dolomite-ord,3.11,5.72,2.61,CaMg(CO3)2
BELGIAN ANTICLINE,Downeyite,-15.27,-22.06,-6.79,SeO2
BELGIAN ANTICLINE,Epsomite,-4.61,-6.57,-1.96,MgSO4:7H2O
BELGIAN ANTICLINE,Fe,-31.81,28.09,59.9,Fe
BELGIAN ANTICLINE,Fe(OH)2,-6.23,7.89,14.12,Fe(OH)2
BELGIAN ANTICLINE,Fe(OH)3,0.66,6.5,5.84,Fe(OH)3
BELGIAN ANTICLINE,Fe2(SO4)3,-47.55,-43.9,3.65,Fe2(SO4)3
BELGIAN ANTICLINE,FeO,-5.88,7.89,13.78,FeO
BELGIAN ANTICLINE,Ferrite-Ca,3.49,25.62,22.13,CaFe2O4
BELGIAN ANTICLINE,Ferrite-Dicalcium,-19.71,38.22,57.93,Ca2Fe2O5
BELGIAN ANTICLINE,Ferrite-Mg,3.75,25.44,21.69,MgFe2O4
BELGIAN ANTICLINE,Ferroselite,-67.84,-149.43,-81.59,FeSe2
BELGIAN ANTICLINE,FeSO4,-13.86,-11.08,2.78,FeSO4
BELGIAN ANTICLINE,Gaylussite,-4.05,7.11,11.16,CaNa2(CO3)2:5H2O
BELGIAN ANTICLINE,Glauberite,-6.03,-11.5,-5.47,Na2Ca(SO4)2
BELGIAN ANTICLINE,Goethite,5.83,6.5,0.68,FeOOH
BELGIAN ANTICLINE,Gypsum,-1.85,-6.37,-4.53,CaSO4:2H2O
BELGIAN ANTICLINE,H2(g),-23.47,-26.56,-3.09,H2
BELGIAN ANTICLINE,H2O(g),-1.69,0,1.69,H2O
BELGIAN ANTICLINE,Halite,-3.1,-1.55,1.55,NaCl
BELGIAN ANTICLINE,Hausmannite,-11.14,-0.36,10.79,Mn3O4
BELGIAN ANTICLINE,HBr(g),-20.31,-11.23,9.08,HBr
BELGIAN ANTICLINE,HCl(g),-14.95,-8.47,6.48,HCl
BELGIAN ANTICLINE,Hematite,12.63,13.01,0.38,Fe2O3
BELGIAN ANTICLINE,Hexahydrite,-4.84,-6.57,-1.73,MgSO4:6H2O
BELGIAN ANTICLINE,Huntite,0.62,11.25,10.63,CaMg3(CO3)4
BELGIAN ANTICLINE,Hydroboracite,-8.81,11.55,20.36,MgCaB6O11:6H2O
BELGIAN ANTICLINE,Hydromagnesite,-7.98,23.48,31.46,Mg5(CO3)4(OH)2:4H2O
BELGIAN ANTICLINE,Hydrophilite,-16.27,-4.33,11.94,CaCl2
BELGIAN ANTICLINE,Ice,-0.13,0,0.12,H2O
BELGIAN ANTICLINE,Jarosite,-4.55,-13.51,-8.96,KFe3(SO4)2(OH)6
BELGIAN ANTICLINE,Jarosite-Na,-6.07,-11.52,-5.45,NaFe3(SO4)2(OH)6
BELGIAN ANTICLINE,K,-56.89,15.02,71.91,K
BELGIAN ANTICLINE,K(g),-67.7,15.02,82.72,K
BELGIAN ANTICLINE,K2CO3:1.5H2O,-13.2,0.18,13.38,K2CO3:1.5H2O
BELGIAN ANTICLINE,K2O,-75.21,9.84,85.05,K2O
BELGIAN ANTICLINE,K2Se,-74.49,-63.07,11.42,K2Se
BELGIAN ANTICLINE,K3H(SO4)2,-19.55,-23.18,-3.62,K3H(SO4)2
BELGIAN ANTICLINE,K8H4(CO3)6:3H2O,-46.3,-18.59,27.71,K8H4(CO3)6:3H2O
BELGIAN ANTICLINE,Kainite,-9.79,-10.1,-0.31,KMgClSO4:3H2O
BELGIAN ANTICLINE,Kalicinite,-5.02,-4.74,0.28,KHCO3
BELGIAN ANTICLINE,KBr,-7.31,-6.31,1,KBr
BELGIAN ANTICLINE,Kieserite,-6.28,-6.55,-0.27,MgSO4:H2O
BELGIAN ANTICLINE,KMgCl3,-29.61,-8.05,21.56,KMgCl3
BELGIAN ANTICLINE,KMgCl3:2H2O,-22.21,-8.06,14.14,KMgCl3:2H2O
BELGIAN ANTICLINE,KNaCO3:6H2O,-8.1,2.16,10.26,KNaCO3:6H2O
BELGIAN ANTICLINE,Lansfordite,-2.09,2.75,4.84,MgCO3:5H2O
BELGIAN ANTICLINE,Lawrencite,-18.3,-9.04,9.26,FeCl2
BELGIAN ANTICLINE,Leonite,-11.57,-15.69,-4.11,K2Mg(SO4)2:4H2O
BELGIAN ANTICLINE,Li,-59.53,14.23,73.76,Li
BELGIAN ANTICLINE,Li(g),-82.09,14.23,96.32,Li
BELGIAN ANTICLINE,Li2Se,-57.57,46.79,104.35,Li2Se
BELGIAN ANTICLINE,Lime,-20.43,12.6,33.03,CaO
BELGIAN ANTICLINE,Magnesite,0.39,2.77,2.38,MgCO3
BELGIAN ANTICLINE,Magnetite,9.97,20.9,10.94,Fe3O4
BELGIAN ANTICLINE,Manganite,-4.63,-4.79,-0.16,MnO(OH)
